Part No.,Footprint
NANO120SC2BN,MCU_LQFP64_7X7mm 
NANO120SD2BN,MCU_LQFP64_7X7mm 
NANO120SD3BN,MCU_LQFP64_7X7mm 
NANO120SE3BN,MCU_LQFP64_7X7mm 
NANO130KC2BN,MCU_LQFP128_14X14mm
NANO130KD2BN,MCU_LQFP128_14X14mm
NANO130KD3BN,MCU_LQFP128_14X14mm
NANO130KE3BN,MCU_LQFP128_14X14mm
NANO130SC2BN,MCU_LQFP64_7X7mm 
NANO130SD2BN,MCU_LQFP64_7X7mm 
NANO130SD3BN,MCU_LQFP64_7X7mm 
NANO130SE3BN,MCU_LQFP64_7X7mm 
NUC029FAE,MCU_TSSOP20_4.4X6.5mm
NUC029KGE,MCU_LQFP128_14X14mm
NUC029LAN,MCU_LQFP48_7X7mm
NUC029LDE,MCU_LQFP48_7X7mm
NUC029LEE,MCU_LQFP48_7X7mm
NUC029LGE,MCU_LQFP48_7X7mm
NUC029NAN,MCU_QFN48_7X7mm 
NUC029SDE,MCU_LQFP64_7X7mm 
NUC029SEE,MCU_LQFP64_7X7mm 
NUC029SGE,MCU_LQFP64_7X7mm 
NUC029TAE,MCU_QFN33_4X4mm
NUC029TAN,MCU_QFN33_4X4mm
NUC029ZAN,MCU_QFN33_5X5mm
NUC100LC1DN,MCU_LQFP48_7X7mm
NUC100LD2DN,MCU_LQFP48_7X7mm
NUC100LE3DN,MCU_LQFP48_7X7mm
NUC100RC1DN,MCU_LQFP64_10X10mm
NUC100RD1DN,MCU_LQFP64_10X10mm
NUC100RD2DN,MCU_LQFP64_10X10mm
NUC100RE3DN,MCU_LQFP64_10X10mm
NUC100VE3DN,MCU_LQFP100_14X14mm
NUC120LC1DN,MCU_LQFP48_7X7mm
NUC120LD2DN,MCU_LQFP48_7X7mm
NUC120LE3DN,MCU_LQFP48_7X7mm
NUC120RC1DN,MCU_LQFP64_10X10mm
NUC120RD2DN,MCU_LQFP64_10X10mm
NUC120RE3DN,MCU_LQFP64_10X10mm
NUC120VE3DN,MCU_LQFP100_14X14mm
NUC121LC2AE,MCU_LQFP48_7X7mm
NUC121SC2AE,MCU_LQFP64_7X7mm
NUC121ZC2AE,MCU_QFN33_5X5mm
NUC122LC1AN,MCU_LQFP48_7X7mm
NUC122LD2AN,MCU_LQFP48_7X7mm
NUC122SC1AN,MCU_LQFP64_7X7mm 
NUC122SD2AN,MCU_LQFP64_7X7mm 
NUC122ZC1AN,MCU_QFN33_5X5mm
NUC122ZD2AN,MCU_QFN33_5X5mm
NUC123LC2AE1,MCU_LQFP48_7X7mm
NUC123LC2AN1,MCU_LQFP48_7X7mm
NUC123LD4AE0,MCU_LQFP48_7X7mm
NUC123LD4AN0,MCU_LQFP48_7X7mm
NUC123SC2AE1,MCU_LQFP64_7X7mm 
NUC123SC2AN1,MCU_LQFP64_7X7mm 
NUC123SD4AE0,MCU_LQFP64_7X7mm 
NUC123SD4AN0,MCU_LQFP64_7X7mm 
NUC123ZC2AE1,MCU_QFN33_5X5mm
NUC123ZC2AN1,MCU_QFN33_5X5mm
NUC123ZD4AE0,MCU_QFN33_5X5mm
NUC123ZD4AN0,MCU_QFN33_5X5mm
NUC125LC2AE,MCU_LQFP48_7X7mm
NUC125SC2AE,MCU_LQFP64_7X7mm 
NUC125ZC2AE,MCU_QFN33_5X5mm
NUC126LE4AE,MCU_LQFP48_7X7mm
NUC126LG4AE,MCU_LQFP48_7X7mm
NUC126NE4AE,MCU_QFN48_7X7mm 
NUC126SE4AE,MCU_LQFP64_7X7mm 
NUC126SG4AE,MCU_LQFP64_7X7mm 
NUC126VG4AE,MCU_LQFP100_14X14mm
NUC1261LG4AE,MCU_LQFP48_7X7mm
NUC1261LE4AE,MCU_LQFP48_7X7mm
NUC1261NE4AE,MCU_QFN48_7X7mm 
NUC1261SG4AE,MCU_LQFP64_7X7mm 
NUC1261SE4AE,MCU_LQFP64_7X7mm 
NUC1262LE4AE,MCU_LQFP48_7X7mm
NUC1262NE4AE,MCU_QFN48_7X7mm 
NUC1262SE4AE,MCU_LQFP64_7X7mm 
NUC1263ZD4AE,MCU_QFN33_5X5mm
NUC1263ND4AE,MCU_QFN48_7X7mm 
NUC1263LD4AE,MCU_LQFP48_7X7mm
NUC1263SD4AE,MCU_LQFP64_7X7mm 
NUC130LC1CN,MCU_LQFP48_7X7mm
NUC130LD2CN,MCU_LQFP48_7X7mm
NUC130LE3CN,MCU_LQFP48_7X7mm
NUC130RC1CN,MCU_LQFP64_10X10mm
NUC130RD2CN,MCU_LQFP64_10X10mm
NUC130RE3CN,MCU_LQFP64_10X10mm
NUC130VE3CN,MCU_LQFP100_14X14mm
NUC131LC2AE,MCU_LQFP48_7X7mm
NUC131LD2AE,MCU_LQFP48_7X7mm
NUC131SC2AE,MCU_LQFP64_7X7mm 
NUC131SD2AE,MCU_LQFP64_7X7mm 
NUC131LC2AEU,MCU_LQFP48_7X7mm
NUC131LD2AEU,MCU_LQFP48_7X7mm
NUC131SC2AEU,MCU_LQFP64_7X7mm 
NUC131SD2AEU,MCU_LQFP64_7X7mm 
NUC1311LD2AE,MCU_LQFP48_7X7mm
NUC140LC1CN,MCU_LQFP48_7X7mm
NUC140LD2CN,MCU_LQFP48_7X7mm
NUC140LE3CN,MCU_LQFP48_7X7mm
NUC140RC1CN,MCU_LQFP64_10X10mm
NUC140RD2CN,MCU_LQFP64_10X10mm
NUC140RE3CN,MCU_LQFP64_10X10mm
NUC140VE3CN,MCU_LQFP100_14X14mm
NUC200LC2AN,MCU_LQFP48_7X7mm
NUC200LD2AN,MCU_LQFP48_7X7mm
NUC200LE3AN,MCU_LQFP48_7X7mm
NUC200SC2AN,MCU_LQFP64_7X7mm 
NUC200SD2AN,MCU_LQFP64_7X7mm 
NUC200SE3AN,MCU_LQFP64_7X7mm 
NUC200VE3AN,MCU_LQFP100_14X14mm
NUC220LC2AN,MCU_LQFP48_7X7mm
NUC220LD2AN,MCU_LQFP48_7X7mm
NUC220LE3AN,MCU_LQFP48_7X7mm
NUC220SC2AN,MCU_LQFP64_7X7mm 
NUC220SD2AN,MCU_LQFP64_7X7mm 
NUC220SE3AN,MCU_LQFP64_7X7mm 
NUC220VE3AN,MCU_LQFP100_14X14mm
NUC230LC2AE,MCU_LQFP48_7X7mm
NUC230LD2AE,MCU_LQFP48_7X7mm
NUC230LE3AE,MCU_LQFP48_7X7mm
NUC230SC2AE,MCU_LQFP64_7X7mm 
NUC230SD2AE,MCU_LQFP64_7X7mm 
NUC230SE3AE,MCU_LQFP64_7X7mm 
NUC230VE3AE,MCU_LQFP100_14X14mm
NUC240LC2AE,MCU_LQFP48_7X7mm
NUC240LD2AE,MCU_LQFP48_7X7mm
NUC240LE3AE,MCU_LQFP48_7X7mm
NUC240SC2AE,MCU_LQFP64_7X7mm 
NUC240SD2AE,MCU_LQFP64_7X7mm 
NUC240SE3AE,MCU_LQFP64_7X7mm 
NUC240VE3AE,MCU_LQFP100_14X14mm
NUC2201LE3AE,MCU_LQFP48_7X7mm
NUC2201SE3AE,MCU_LQFP64_7X7mm 
M451LC3AE,MCU_LQFP48_7X7mm
M451LD3AE,MCU_LQFP48_7X7mm
M451LE6AE,MCU_LQFP48_7X7mm
M451LG6AE,MCU_LQFP48_7X7mm
M451MLC3AE,MCU_LQFP48_7X7mm
M451MLD3AE,MCU_LQFP48_7X7mm
M451MLE6AE,MCU_LQFP48_7X7mm
M451MLG6AE,MCU_LQFP48_7X7mm
M451MSC3AE,MCU_LQFP64_7X7mm 
M451MSD3AE,MCU_LQFP64_7X7mm 
M451RC3AE,MCU_LQFP64_7X7mm 
M451RD3AE,MCU_LQFP64_7X7mm 
M451RE6AE,MCU_LQFP64_7X7mm 
M451RG6AE,MCU_LQFP64_7X7mm 
M451VE6AE,MCU_LQFP100_14X14mm
M451VG6AE,MCU_LQFP100_14X14mm
M4521LE6AE,MCU_LQFP48_7X7mm
M4521SE6AE,MCU_LQFP64_7X7mm 
M452LC3AE,MCU_LQFP48_7X7mm
M452LD3AE,MCU_LQFP48_7X7mm
M452LE6AE,MCU_LQFP48_7X7mm
M452LG6AE,MCU_LQFP48_7X7mm
M452RD3AE,MCU_LQFP64_10X10mm 
M452RE6AE,MCU_LQFP64_10X10mm 
M452RG6AE,MCU_LQFP64_10X10mm 
M452VE6AE,MCU_LQFP100_14X14mm
M452VG6AE,MCU_LQFP100_14X14mm
M453LC3AE,MCU_LQFP48_7X7mm
M453LD3AE,MCU_LQFP48_7X7mm
M453LE6AE,MCU_LQFP48_7X7mm
M453LG6AE,MCU_LQFP48_7X7mm
M453RD3AE,MCU_LQFP64_10X10mm 
M453RE6AE,MCU_LQFP64_10X10mm 
M453RG6AE,MCU_LQFP64_10X10mm 
M453VD3AE,MCU_LQFP100_14X14mm
M453VE6AE,MCU_LQFP100_14X14mm
M453VG6AE,MCU_LQFP100_14X14mm
M463H3SJHAN,MCU_LQFP64_7X7mm
M467SJHAN,MCU_LQFP64_7X7mm
M467KJHAN,MCU_LQFP128_14X14mm
M467JJHAN,MCU_LQFP144_20X20mm 
